"ems_id","station_name","reporting_name"
"310162","Port Moody Rocky Point Park","Port Moody"
"310174","Vancouver Robson Square","Vancouver-Dwtn"
"310177","Burnaby Kensington Park","Burnaby-Kensington"
"310179","North Vancouver Second Narrows","N. Vancouver-2nd Narrows"
"450307","Prince George Plaza 400","Prince George"
"500886","Kelowna College","Kelowna"
"550502","Williams Lake Columneetza School","Williams Lake"
"605008","Kamloops Federal Building","Kamloops-Fed. Bldg"
"E206270","Burnaby Mountain","Burnaby Mtn"
"E206271","Surrey East","Surrey"
"E206589","Smithers St Josephs","Smithers"
"E207417","Richmond South","Richmond South"
"E207418","Burnaby South","Burnaby South"
"E207723","North Delta","North Delta"
"E208096","Quesnel Senior Secondary","Quesnel"
"E209177","North Vancouver Mahon Park","N. Vancouver-Mahon Park"
"E209178","Langley Central","Langley"
"E220891","Chilliwack Airport","Chilliwack"
"E223756","Hope Airport","Hope"
"E227431","Whistler Meadow Park","Whistler"
"E229797","Nanaimo Labieux Road","Nanaimo"
"E231866","Victoria Topaz","Victoria-Topaz"
"E232244","Pitt Meadows Meadowlands School","Pitt Meadows"
"E232245","Maple Ridge Golden Ears School","Maple Ridge"
"E232246","Vancouver International Airport #2","Richmond-Airport"
"E238212","Abbotsford Central","Abbotsford-Mill Lake"
"E240337","Colwood City Hall","Colwood"
"E242892","Coquitlam Douglas College","Coquitlam"
"E249492","Vernon Science Centre","Vernon"
"E277329","Duncan Cairnsmore","Duncan-Cairnsmore"
"E283549","Tsawwassen","Tsawwassen"
"E285829","Courtenay Elementary School","Courtenay"
"E286369","Castlegar Zinio Park","Castlegar"
"E289309","Abbotsford A Columbia Street","Abbotsford-Airport"
"E293810","Agassiz Municipal Hall","Agassiz"
"E299830","Fort St John Key Learning Centre","Fort St. John"
"E300350","Terrace Skeena Middle School","Terrace-Skeena"
"E302130","Mission School Works Yard","Mission"
"E304570","Squamish Elementary","Squamish"
"E304684","Rolla 213 Road","Rolla"
"E304685","Taylor Lone Wolf Golf Course","Taylor"
"E308566","New Westminster Sapperton Park","New Westminster"
"220205","Powell River Wildwood","Powell River-Wildwood"
"E216670","Kitimat Riverlodge","Kitimat-Riverlodge"
"E222520","Elk Falls Dogwood","Campbell River"
"E222778","Langdale Elementary","Langdale"
"E225267","Burns Lake Fire Centre","Burns Lake"
"E234670","Duncan Deykin Avenue","Duncan-Deykin Ave"
"E263701","Grand Forks City Hall","Grand Forks"
"E269223","Vanderhoof Courthouse","Vanderhoof"
"E271963","Powell River James Thomson School","Powell River-James Thomson School"
"E273483","Port Alberni Elementary","Port Alberni"
"E275843","Horseshoe Bay","Horseshoe Bay"
"E292149","Golden Helipad","Golden"
"E296370","Crofton Georgia Hts","Crofton-Georgia Hts"
"E303935","Kamloops Aberdeen","Kamloops-Aberdeen"
"E304570","Squamish Elementary","Squamish-Elementary"
"E304590","Lavington Baptist Church","Lavington"
"M107004","Houston Firehall","Houston"
